Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2015-04-29 07:45:00,NON-CRIMINAL,FIRE REPORT,Wednesday,NORTHERN,UNFOUNDED,2900 Block of LYON ST,-122.447163343762,37.798002807473296
2015-04-29 07:40:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE,300 Block of TREAT AV,-122.413445535807,37.764637017181286
2015-04-29 07:30:00,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Wednesday,CENTRAL,NONE,0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863
2015-04-29 07:30:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,RICHMOND,NONE,1800 Block of PIERCE ST,-122.436774478236,37.7870844322327
2015-04-29 07:27:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,SOUTHERN,NONE,900 Block of MISSION ST,-122.40793286820299,37.7815063666429
2015-04-29 07:24:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923
2015-04-29 07:24:00,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923
2015-04-29 07:04:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,EXCEPTIONAL CLEARANCE,2600 Block of TAYLOR ST,-122.41559416477399,37.806810058421604
2015-04-29 07:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,RICHMOND,NONE,3600 Block of SACRAMENTO ST,-122.452796018759,37.7875001881845
2015-04-29 07:00:00,MISSING PERSON,MISSING ADULT,Wednesday,RICHMOND,NONE,500 Block of 20TH AV,-122.479241369169,37.77745633224021
2015-04-29 07:00:00,MISSING PERSON,FOUND PERSON,Wednesday,RICHMOND,NONE,500 Block of 20TH AV,-122.479241369169,37.77745633224021
2015-04-29 06:51:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,SOUTHERN,NONE,700 Block of BRANNAN ST,-122.402917180962,37.7732011737995
2015-04-29 06:45:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,INGLESIDE,UNFOUNDED,400 Block of VALLEY ST,-122.432303353549,37.744124427859
2015-04-29 06:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TENDERLOIN,NONE,LARKIN ST / GOLDEN GATE AV,-122.41714684383601,37.781446350134004
2015-04-29 06:35:00,ARSON,ARSON OF A VEHICLE,Wednesday,RICHMOND,NONE,700 Block of 23RD AV,-122.482184155412,37.773579768654706
2015-04-29 06:35:00,SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX",Wednesday,RICHMOND,NONE,700 Block of 23RD AV,-122.482184155412,37.773579768654706
2015-04-29 06:35:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,RICHMOND,NONE,700 Block of 23RD AV,-122.482184155412,37.773579768654706
2015-04-29 06:31:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1900 Block of LOMBARD ST,-122.43357543980801,37.8000374496753
2015-04-29 06:15:00,TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of MASON ST,-122.409523740653,37.7857602954934
2015-04-29 06:13:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,MISSION,NONE,200 Block of CHATTANOOGA ST,-122.426334982169,37.752554160607
2015-04-29 06:06:00,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Wednesday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
2015-04-29 06:06:00,DRUG/NARCOTIC,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE,Wednesday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
2015-04-29 06:00:00,FRAUD,"ACCESS CARD INFORMATION, THEFT OF",Wednesday,CENTRAL,NONE,900 Block of GREENWICH ST,-122.415530627533,37.8015015067263
2015-04-29 05:52:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,NONE,500 Block of SUTTER ST,-122.40944548448799,37.789173205941
2015-04-29 05:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,SOUTHERN,NONE,100 Block of VERMONT ST,-122.40488019300301,37.767877554187706
2015-04-29 05:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,CENTRAL,"ARREST, BOOKED",1000 Block of GREEN ST,-122.41642171962201,37.7986283900074
2015-04-29 04:53:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,PARK,"ARREST, CITED",0 Block of IRVING ST,-122.458218922838,37.76433698451471
2015-04-29 04:48:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,900 Block of GEARY ST,-122.418918390218,37.7859407304209
2015-04-29 04:30:00,LARCENY/THEFT,ATTEMPTED THEFT OF A BICYCLE,Wednesday,MISSION,NONE,1200 Block of VALENCIA ST,-122.420806049169,37.7528840217529
2015-04-29 04:30:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Wednesday,SOUTHERN,NONE,TOWNSEND ST / 7TH ST,-122.401658145147,37.7718165835839
2015-04-29 04:30:00,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Wednesday,RICHMOND,NONE,20TH AV / LAKE ST,-122.479787286118,37.7859818936694
2015-04-29 04:30:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Wednesday,RICHMOND,NONE,20TH AV / LAKE ST,-122.479787286118,37.7859818936694
2015-04-29 04:24:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,NORTHERN,NONE,2100 Block of FILLMORE ST,-122.43386682459999,37.78938922271779
2015-04-29 04:17:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,MISSION,NONE,4500 Block of 18TH ST,-122.440485645784,37.7605003986524
2015-04-29 04:17:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,MISSION,NONE,4500 Block of 18TH ST,-122.440485645784,37.7605003986524
2015-04-29 04:13:00,ROBBERY,"ROBBERY, ARMED WITH A GUN",Wednesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / 30TH ST,-122.42197091902901,37.74237522452549
2015-04-29 04:13:00,WARRANTS,ENROUTE TO ADULT AUTHORITY,Wednesday,INGLESIDE,"ARREST, BOOKED",MISSION ST / 30TH ST,-122.42197091902901,37.74237522452549
2015-04-29 04:09:00,SECONDARY CODES,ATM RELATED CRIME,Wednesday,RICHMOND,NONE,6000 Block of GEARY BL,-122.48421621182699,37.7802409146585
2015-04-29 04:09:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,RICHMOND,NONE,6000 Block of GEARY BL,-122.48421621182699,37.7802409146585
2015-04-29 04:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,INGLESIDE,NONE,100 Block of DUNCAN ST,-122.423473589921,37.746252894301705
2015-04-29 03:19:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",14TH ST / HARRISON ST,-122.41339825342199,37.7686709269248
2015-04-29 03:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,100 Block of KNOCKASHHILL ST,-122.458055440924,37.742195991083605
2015-04-29 02:54:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,TARAVAL,NONE,1300 Block of NORIEGA ST,-122.47809616093399,37.7542236342376
2015-04-29 02:00:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,NORTHERN,NONE,0 Block of OCTAVIA ST,-122.423632627817,37.7718815206189
2015-04-29 01:50:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,TENDERLOIN,NONE,200 Block of HYDE ST,-122.415721688006,37.7830679886919
2015-04-29 01:50:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,SOUTHERN,NONE,300 Block of 9TH ST,-122.410334776842,37.772814036200295
2015-04-29 01:50:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Wednesday,SOUTHERN,NONE,300 Block of 9TH ST,-122.410334776842,37.772814036200295
2015-04-29 01:40:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,MISSION,NONE,0 Block of DOLORES ST,-122.426904863087,37.7684403182059
2015-04-29 01:30:00,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",Wednesday,BAYVIEW,NONE,900 Block of RHODEISLAND ST,-122.40196233400101,37.757745327175
2015-04-29 01:26:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,1700 Block of MARKET ST,-122.42218826142599,37.7726948236861
2015-04-29 01:20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,BAYVIEW,NONE,26TH ST / RHODEISLAND ST,-122.401233520731,37.750631010285204
2015-04-29 01:18:00,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,MISSION,"ARREST, BOOKED",0 Block of SYCAMORE ST,-122.419858465007,37.7627429027065
2015-04-29 01:18:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",0 Block of SYCAMORE ST,-122.419858465007,37.7627429027065
2015-04-29 01:18:00,BRIBERY,BRIBERY OF EXECUTIVE OFFICER,Wednesday,MISSION,"ARREST, BOOKED",0 Block of SYCAMORE ST,-122.419858465007,37.7627429027065
2015-04-29 01:18:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Wednesday,MISSION,"ARREST, BOOKED",0 Block of SYCAMORE ST,-122.419858465007,37.7627429027065
2015-04-29 01:18:00,OTHER OFFENSES,CONSPIRACY,Wednesday,MISSION,"ARREST, BOOKED",0 Block of SYCAMORE ST,-122.419858465007,37.7627429027065
2015-04-29 01:13:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,BAYVIEW,"ARREST, CITED",2300 Block of 3RD ST,-122.388303109134,37.7592094153105
2015-04-29 01:10:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,300 Block of 9TH ST,-122.410334776842,37.772814036200295
2015-04-29 01:05:00,ARSON,ARSON,Wednesday,CENTRAL,NONE,1200 Block of UNION ST,-122.41959364645399,37.7991861177677
2015-04-29 01:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,200 Block of DELLBROOK AV,-122.453087966399,37.7503148137066
2015-04-29 00:50:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2015-04-29 00:50:00,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,INGLESIDE,"ARREST, BOOKED",0 Block of NAVAJO AV,-122.443971583062,37.720018536675
2015-04-29 00:50:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282
2015-04-29 00:45:00,ASSAULT,BATTERY,Wednesday,TENDERLOIN,NONE,400 Block of EDDY ST,-122.41506687647,37.7835634796332
2015-04-29 00:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,3RD ST / 22ND ST,-122.388318045049,37.757939423202
2015-04-29 00:40:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",GENEVA AV / ALEMANY BL,-122.442326614218,37.7178353145571
2015-04-29 00:29:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,MISSION,"ARREST, BOOKED",18TH ST / CAPP ST,-122.418272166422,37.76190296130221
2015-04-29 00:29:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Wednesday,MISSION,"ARREST, BOOKED",18TH ST / CAPP ST,-122.418272166422,37.76190296130221
2015-04-29 00:05:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,NONE,0 Block of TUCKER AV,-122.40450026817601,37.7155319865115
2015-04-29 00:05:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,100 Block of UPPER TR,-122.44425299966,37.7642672547929
2015-04-29 00:01:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,NORTHERN,NONE,900 Block of ELLIS ST,-122.421835482563,37.7836653823561
2015-04-29 00:01:00,ASSAULT,THREATENING SCHOOL OR PUBLIC EMPLOYEE,Wednesday,NORTHERN,NONE,900 Block of ELLIS ST,-122.421835482563,37.7836653823561
2015-04-29 00:01:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,NORTHERN,NONE,600 Block of EDDY ST,-122.418360181974,37.783149897821104
2015-04-29 00:01:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,11TH ST / MARKET ST,-122.418698328939,37.7755894130051
2015-04-28 23:40:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,RICHMOND,NONE,17TH AV / GEARY BL,-122.47616910958,37.780474533143
2015-04-28 23:30:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.40950430935,37.781526271747
2015-04-28 23:29:00,NON-CRIMINAL,AIDED CASE,Tuesday,MISSION,NONE,3000 Block of 16TH ST,-122.420080983505,37.7650815376682
2015-04-28 23:20:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",3RD ST / 23RD ST,-122.388004140125,37.75538982967021
2015-04-28 23:19:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,NORTHERN,NONE,0 Block of SANCHEZ ST,-122.43120329125,37.7684456939511
2015-04-28 23:15:00,ROBBERY,ROBBERY OF A CHAIN STORE WITH A KNIFE,Tuesday,NORTHERN,NONE,1500 Block of POLK ST,-122.420713728356,37.791054571840796
2015-04-28 23:10:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",OAKDALE AV / RANKIN ST,-122.397812021225,37.7388469465485
2015-04-28 23:05:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",3RD ST / REVERE AV,-122.391522893042,37.7324323864471
2015-04-28 23:00:00,MISSING PERSON,MISSING ADULT,Tuesday,PARK,NONE,0 Block of SHRADER ST,-122.452839772389,37.7745145380854
2015-04-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,1800 Block of CALIFORNIA ST,-122.424800307085,37.789999944403895
2015-04-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,GEARY BL / BUCHANAN ST,-122.429640669207,37.784764070719795
2015-04-28 23:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,RICHMOND,NONE,3RD AV / CALIFORNIA ST,-122.46136862238998,37.78540247500379
2015-04-28 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE,GOETTINGEN ST / CAMPBELL AV,-122.401594492887,37.7148574764821
2015-04-28 22:53:00,WARRANTS,WARRANT ARREST,Tuesday,NORTHERN,"ARREST, BOOKED",GREENWICH ST / OCTAVIA ST,-122.429293734683,37.7997871229932
2015-04-28 22:44:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,INGLESIDE,NONE,0 Block of EXCELSIOR AV,-122.433197393938,37.7260971758409
2015-04-28 22:44:00,WEAPON LAWS,SUSPICIOUS PACKAGE,Tuesday,INGLESIDE,NONE,0 Block of EXCELSIOR AV,-122.433197393938,37.7260971758409
2015-04-28 22:36:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-04-28 22:33:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-04-28 22:30:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,CENTRAL,NONE,1300 Block of WASHINGTON ST,-122.416010664131,37.793983502835296
2015-04-28 22:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,CENTRAL,NONE,700 Block of UNION ST,-122.41121870270901,37.80013492969079
2015-04-28 22:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,TENDERLOIN,NONE,JONES ST / ELLIS ST,-122.412784096502,37.78486569395261
2015-04-28 22:07:00,WARRANTS,WARRANT ARREST,Tuesday,NORTHERN,"ARREST, BOOKED",1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044
2015-04-28 22:05:00,ROBBERY,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,Tuesday,INGLESIDE,NONE,0 Block of CALGARY ST,-122.416139628673,37.7086777563714
2015-04-28 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,NONE,1500 Block of VALLEJO ST,-122.42278588280001,37.7967391692509
2015-04-28 22:00:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Tuesday,CENTRAL,NONE,200 Block of SUTTER ST,-122.404013943546,37.7897518225049
2015-04-28 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,1500 Block of VALLEJO ST,-122.42278588280001,37.7967391692509
2015-04-28 22:00:00,MISSING PERSON,MISSING JUVENILE,Tuesday,PARK,NONE,100 Block of ULLOA ST,-122.45543316273998,37.744004283053
2015-04-28 22:00:00,MISSING PERSON,FOUND PERSON,Tuesday,PARK,NONE,100 Block of ULLOA ST,-122.45543316273998,37.744004283053
2015-04-28 22:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,300 Block of HARRISON ST,-122.39157587009899,37.7870647860468
2015-04-28 22:00:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,SOUTHERN,NONE,300 Block of HARRISON ST,-122.39157587009899,37.7870647860468
2015-04-28 22:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,500 Block of NORTHPOINT ST,-122.416280805077,37.8062946812333
2015-04-28 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,NORTHERN,NONE,1300 Block of VANNESS AV,-122.421734189838,37.7882961275539
2015-04-28 22:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED",100 Block of MADRID ST,-122.428649660723,37.7270208612261
2015-04-28 22:00:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,BAYVIEW,NONE,SAN BRUNO AV / SILVER AV,-122.405610268222,37.732438864982
2015-04-28 22:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,NORTHPOINT ST / GRANT AV,-122.408899279016,37.8071620563289
2015-04-28 22:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,CENTRAL,NONE,HYDE ST / PINE ST,-122.41720963943001,37.790045901716795
2015-04-28 21:58:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",OAKDALE AV / 3RD ST,-122.39069763068301,37.7347969947349
2015-04-28 21:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,200 Block of TOWNSEND ST,-122.394491170773,37.777554028625204
2015-04-28 21:45:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,CENTRAL,NONE,1300 Block of BATTERY ST,-122.402005149655,37.803687099963
2015-04-28 21:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,MISSION,"ARREST, BOOKED",MISSION ST / 23RD ST,-122.41859672745899,37.753838204850105
2015-04-28 21:30:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,CENTRAL,NONE,COLUMBUS AV / MASON ST,-122.412911739492,37.8021828448089
2015-04-28 21:28:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,SOUTHERN,"ARREST, BOOKED",3RD ST / HARRISON ST,-122.39738878482599,37.7825543452426
2015-04-28 21:28:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Tuesday,SOUTHERN,"ARREST, BOOKED",3RD ST / HARRISON ST,-122.39738878482599,37.7825543452426
2015-04-28 21:15:00,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,BAYVIEW,"ARREST, BOOKED",3000 Block of SAN BRUNO AV,-122.40189800533501,37.7233482212763
2015-04-28 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,SOUTHERN,NONE,0 Block of BLUXOME ST,-122.39682927195899,37.7767640297712
2015-04-28 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,1300 Block of 9TH AV,-122.466175257158,37.7630911994124
2015-04-28 21:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,PARK,NONE,HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172
2015-04-28 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,CENTRAL,NONE,VALLEJO ST / GRANT AV,-122.407208951402,37.7987756652736
2015-04-28 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,BAY ST / FRANKLIN ST,-122.42675653360001,37.8039352307409
2015-04-28 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,SUTTER ST / LAGUNA ST,-122.428337917055,37.7867109731605
2015-04-28 21:00:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,NORTHERN,NONE,SUTTER ST / LAGUNA ST,-122.428337917055,37.7867109731605
2015-04-28 20:54:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,2500 Block of 3RD ST,-122.38799766079201,37.7566678126978
2015-04-28 20:51:00,OTHER OFFENSES,CRUELTY TO ANIMALS,Tuesday,TARAVAL,NONE,45TH AV / LINCOLN WY,-122.505117314946,37.7642126361601
2015-04-28 20:51:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,TARAVAL,NONE,45TH AV / LINCOLN WY,-122.505117314946,37.7642126361601
2015-04-28 20:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,VALLEJO ST / VANNESS AV,-122.42360533751699,37.7966908906411
2015-04-28 20:35:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,NONE,1500 Block of POST ST,-122.42652971422599,37.7860427680942
2015-04-28 20:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,PARK,NONE,2300 Block of FULTON ST,-122.455797073389,37.7746727324633
2015-04-28 20:25:00,ASSAULT,BATTERY,Tuesday,BAYVIEW,NONE,1000 Block of LECONTE AV,-122.39800417734,37.7190331787318
2015-04-28 20:25:00,ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,BAYVIEW,NONE,1000 Block of LECONTE AV,-122.39800417734,37.7190331787318
2015-04-28 20:10:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TENDERLOIN,NONE,500 Block of LEAVENWORTH ST,-122.41464540990101,37.7860688364633
2015-04-28 20:10:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,SOUTHERN,NONE,300 Block of 4TH ST,-122.399833846531,37.781043217933394
2015-04-28 20:00:00,RUNAWAY,RUNAWAY,Tuesday,SOUTHERN,NONE,0 Block of MOSS ST,-122.407999186749,37.7778241673064
2015-04-28 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,PARK,NONE,0 Block of GARDENSIDE DR,-122.444988946157,37.7517781008065
2015-04-28 20:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,BAYVIEW,NONE,0 Block of NORTHRIDGE RD,-122.37551296863501,37.730806609582
2015-04-28 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,500 Block of MINNA ST,-122.40877066526,37.7801357011746
2015-04-28 20:00:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,TARAVAL,NONE,1300 Block of 41ST AV,-122.50056241247,37.76157691282
2015-04-28 20:00:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,TENDERLOIN,NONE,TURK ST / JONES ST,-122.41241426358101,37.7830037964534
2015-04-28 19:53:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
2015-04-28 19:50:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,CENTRAL,"ARREST, BOOKED",600 Block of CALIFORNIA ST,-122.40504699065,37.792616896353
2015-04-28 19:50:00,WARRANTS,WARRANT ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",1000 Block of MISSION ST,-122.40979519450501,37.7800356268394
2015-04-28 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,1000 Block of GREAT HY,-122.510225749052,37.7672442209616
2015-04-28 19:30:00,VEHICLE THEFT,STOLEN TRUCK,Tuesday,PARK,NONE,100 Block of BEULAH ST,-122.452352944121,37.7674646061843
2015-04-28 19:30:00,BURGLARY,"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY",Tuesday,SOUTHERN,NONE,1700 Block of MARKET ST,-122.42218826142599,37.7726948236861
2015-04-28 19:30:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Tuesday,TARAVAL,NONE,3200 Block of 20TH AV,-122.47564746078599,37.7285280627465
2015-04-28 19:30:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,TARAVAL,NONE,3200 Block of 20TH AV,-122.47564746078599,37.7285280627465
2015-04-28 19:30:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,NORTHERN,NONE,0 Block of ROSE ST,-122.421701514338,37.77364121596421
2015-04-28 19:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,RICHMOND,NONE,4TH AV / CABRILLO ST,-122.46173261893,37.7754662349337
