"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-08-27,"88","61","75","M","61","66","0","10","-","-"," ","M","0.00","29.96","30.08"," 5.9","21","6.8"
2,2012-08-27,"81","60","71"," 5","63","66","0"," 6","0507","1830","RA","0.0","  T","29.05","30.11"," 9.8","23","10.6"
1,2012-08-28,"87","67","77","M","64","68","0","12","-","-","RA BR","M","0.26","29.66","29.82"," 2.8","28","5.8"
2,2012-08-28,"81","65","73"," 7","64","67","0"," 8","0508","1828","RA BR","0.0","0.36","28.77","29.83"," 6.8","29","8.1"
1,2012-08-29,"77","58","68","M","48","57","0"," 3","-","-"," ","M","0.00","29.78","29.95"," 2.9","30","4.7"
2,2012-08-29,"73","56","65"," 0","47","55","0"," 0","0509","1827"," ","0.0","0.00","28.87","29.97"," 7.3","32","8.1"
1,2012-08-30,"84","54","69","M","51","60","0"," 4","-","-"," ","M","0.00","29.83","29.99"," 7.4","23","7.7"
2,2012-08-30,"76","55","66"," 1","51","58","0"," 1","0510","1825"," ","0.0","0.00","28.94","30.02","11.0","26","11.4"
1,2012-08-31,"92","62","77","M","55","64","0","12","-","-"," ","M","0.00","29.73","29.88"," 9.1","23","9.3"
2,2012-08-31,"83","63","73"," 8","54","62","0"," 8","0511","1824"," ","0.0","0.00","28.87","29.92","13.6","26","13.9"
1,2012-09-01,"78","60","69","M","57","63","0"," 4","-","-"," ","M","0.00","29.85","30.04"," 3.8","07","4.7"
2,2012-09-01,"80","63","72"," 7","59","64","0"," 7","0512","1822"," ","0.0","0.00","28.93","30.03"," 3.2","08","6.1"
1,2012-09-02,"78","57","68","M","57","61","0"," 3","-","-","RA FG BR","M","0.01","29.96","30.13"," 2.4","05","3.4"
2,2012-09-02,"75","59","67"," 2","56","60","0"," 2","0513","1820"," ","0.0","0.00","29.03","30.12"," 1.0","08","4.1"
1,2012-09-03,"80","60","70","M","57","62","0"," 5","-","-","BR","M","0.00","30.03","30.20"," 2.0","09","3.6"
2,2012-09-03,"74","57","66"," 2","56","60","0"," 1","0514","1818","FG+","0.0","0.00","29.10","30.19"," 3.0","13","5.7"
1,2012-09-04,"74","63","69","M","64","65","0"," 4","-","-","RA BR","M","0.69","29.91","30.04"," 0.9","14","2.0"
2,2012-09-04,"72","61","67"," 3","65","66","0"," 2","0516","1817","RA FG+ BR","0.0","0.63","28.98","30.03"," 4.6","17","5.8"
1,2012-09-05,"82","69","76","M","68","70","0","11","-","-","RA BR","M","0.42","29.62","29.78"," 3.1","23","7.0"
2,2012-09-05,"79","66","73"," 9","67","69","0"," 8","0517","1815","TSRA RA BR VCTS","0.0","0.79","28.73","29.80"," 5.9","24","8.5"
1,2012-09-06,"82","66","74","M","64","67","0"," 9","-","-"," ","M","  T","29.72","29.88"," 2.7","23","3.7"
2,2012-09-06,"77","62","70"," 7","63","65","0"," 5","0518","1813"," ","0.0","0.00","28.82","29.89"," 4.3","22","5.7"
1,2012-09-07,"87","66","77","M","65","69","0","12","-","-","BR","M","0.00","29.75","29.90"," 2.2","21","3.0"
2,2012-09-07,"81","65","73","10","66","68","0"," 8","0519","1812","BR","0.0","  T","28.85","29.92"," 4.0","23","5.4"
1,2012-09-08,"85","65","75","M","67","70","0","10","-","-","RA BR","M","0.19","29.62","29.76"," 7.6","20","9.2"
2,2012-09-08,"78","60","69"," 6","66","68","0"," 4","0520","1810","RA BR","0.0","0.54","28.72","29.77","12.6","20","14.7"
1,2012-09-09,"75","56","66","M","55","59","0"," 1","-","-","RA","M","0.01","29.65","29.82"," 2.6","30","4.6"
2,2012-09-09,"72","58","65"," 3","53","57","0"," 0","0521","1808","RA","0.0","  T","28.73","29.83"," 5.7","31","6.3"
1,2012-09-10,"68","53","61","M","46","53","4"," 0","-","-"," ","M","0.00","29.78","29.96"," 6.9","33","7.2"
2,2012-09-10,"66","50","58","-4","44","51","7"," 0","0522","1806"," ","0.0","0.00","28.86","29.97","10.9","33","11.4"
1,2012-09-11,"74","49","62","M","43","52","3"," 0","-","-"," ","M","0.00","30.01","30.20"," 1.8","26","3.0"
2,2012-09-11,"69","46","58","-4","43","50","7"," 0","0523","1805"," ","0.0","0.00","29.10","30.21"," 7.0","29","8.4"
1,2012-09-12,"80","49","65","M","49","56","0"," 0","-","-"," ","M","0.00","30.16","30.34"," 1.2","20","2.2"
2,2012-09-12,"75","54","65"," 4","49","56","0"," 0","0524","1803"," ","0.0","0.00","29.23","30.34"," 5.7","26","6.9"
1,2012-09-13,"85","57","71","M","57","62","0"," 6","-","-"," ","M","0.00","30.16","30.31"," 5.3","21","5.7"
2,2012-09-13,"78","56","67"," 6","56","60","0"," 2","0525","1801"," ","0.0","0.00","29.24","30.33"," 8.5","24","8.8"
1,2012-09-14,"85","60","73","M","59","64","0"," 8","-","-","BR","M","0.00","30.03","30.17"," 5.5","21","5.6"
2,2012-09-14,"78","59","69"," 8","59","62","0"," 4","0526","1759"," ","0.0","0.00","29.11","30.18"," 8.9","23","9.7"
1,2012-09-15,"74","51","63","M","50","57","2"," 0","-","-","RA","M","0.02","29.88","30.03"," 4.6","30","7.2"
2,2012-09-15,"68","50","59","-2","50","55","6"," 0","0527","1758","RA BR","0.0","0.08","28.97","30.05","10.1","29","10.8"
1,2012-09-16,"71","48","60","M","41","50","5"," 0","-","-"," ","M","0.00","29.89","30.05"," 3.8","30","4.5"
2,2012-09-16,"67","48","58","-2","44","50","7"," 0","0528","1756"," ","0.0","0.00","28.97","30.06"," 8.0","29","8.3"
1,2012-09-17,"77","44","61","M","47","53","4"," 0","-","-"," ","M","0.00","29.91","30.07"," 1.5","20","2.1"
2,2012-09-17,"72","48","60"," 0","49","54","5"," 0","0529","1754"," ","0.0","0.00","28.98","30.08"," 5.9","25","6.8"
1,2012-09-18,"77","55","66","M","60","63","0"," 1","-","-","RA BR","M","0.30","29.78","29.90"," 5.9","18","7.4"
2,2012-09-18,"70","56","63"," 4","61","62","2"," 0","0530","1752","RA BR","0.0","1.42","28.84","29.88","13.4","19","14.6"
1,2012-09-19,"72","48","60","M","49","56","5"," 0","-","-","RA","M","0.27","29.77","29.98"," 5.1","30","7.8"
2,2012-09-19,"67","52","60"," 1","45","52","5"," 0","0531","1751","RA BR","0.0","0.01","28.86","29.99"," 9.0","31","11.0"
1,2012-09-20,"66","43","55","M","42","48","10"," 0","-","-"," ","M","0.00","30.07","30.23"," 3.4","06","4.4"
2,2012-09-20,"64","46","55","-4","42","48","10"," 0","0532","1749"," ","0.0","0.00","29.11","30.21"," 4.5","07","6.0"
1,2012-09-21,"66","45","56","M","49","52","9"," 0","-","-"," ","M","0.00","29.99","30.14"," 2.1","05","3.0"
2,2012-09-21,"65","47","56","-2","48","51","9"," 0","0533","1747","FG+","0.0","0.00","29.04","30.12"," 3.4","07","4.5"
1,2012-09-22,"72","55","64","M","56","58","1"," 0","-","-","RA BR","M","0.01","29.79","29.93"," 0.2","24","3.7"
2,2012-09-22,"72","51","62"," 4","56","58","3"," 0","0534","1745","RA FG BR","0.0","0.24","28.86","29.93"," 4.5","19","6.9"
1,2012-09-23,"71","49","60","M","48","55","5"," 0","-","-"," ","M","0.10","29.78","29.97"," 6.1","28","7.4"
2,2012-09-23,"64","47","56","-2","46","51","9"," 0","0536","1744"," ","0.0","0.01","28.87","29.99"," 9.5","29","10.2"
1,2012-09-24,"68","43","56","M","40","48","9"," 0","-","-"," ","M","0.00","29.94","30.11"," 3.9","25","4.4"
2,2012-09-24,"61","45","53","-4","39","46","12"," 0","0537","1742"," ","0.0","0.00","29.01","30.11"," 6.5","28","7.3"
1,2012-09-25,"74","44","59","M","44","52","6"," 0","-","-"," ","M","0.00","29.98","30.14"," 8.0","21","8.2"
2,2012-09-25,"69","44","57"," 0","44","50","8"," 0","0538","1740"," ","0.0","0.00","29.04","30.14","11.8","23","12.0"
1,2012-09-26,"73","59","66","M","58","62","0"," 1","-","-"," ","M","  T","29.91","30.06"," 7.0","21","7.7"
2,2012-09-26,"68","57","63"," 6","58","60","2"," 0","0539","1738","RA","0.0","0.01","28.99","30.07","10.3","22","10.5"
1,2012-09-27,"69","48","59","M","48","54","6"," 0","-","-","BR","M","0.00","29.98","30.16"," 3.6","34","5.3"
2,2012-09-27,"66","52","59"," 3","50","54","6"," 0","0540","1737","BR","0.0","0.00","29.05","30.16"," 5.0","32","6.9"
1,2012-09-28,"57","46","52","M","50","51","13"," 0","-","-","RA BR","M","0.81","30.03","30.17"," 4.7","04","5.3"
2,2012-09-28,"53","48","51","-5","50","51","14"," 0","0541","1735","RA FG+ FG BR","0.0","1.06","29.05","30.13"," 6.0","06","6.9"
1,2012-09-29,"57","52","55","M","51","53","10"," 0","-","-","RA BR","M","0.03","29.78","29.94"," 5.6","02","6.1"
2,2012-09-29,"55","50","53","-2","51","51","12"," 0","0542","1733","FG BR","0.0","0.00","28.84","29.93"," 4.7","04","5.4"
1,2012-09-30,"60","52","56","M","52","54","9"," 0","-","-","RA BR","M","0.12","29.66","29.80"," 1.0","26","4.0"
2,2012-09-30,"61","48","55"," 0","50","51","10"," 0","0543","1731","RA FG+ FG BR","0.0","0.01","28.73","29.80"," 2.5","26","5.3"
1,2012-10-01,"66","50","58","M","50","53","7"," 0","-","-"," ","M","0.00","29.60","29.79"," 9.2","23","9.8"
2,2012-10-01,"63","46","55"," 0","48","51","10"," 0","0544","1730"," ","0.0","0.00","28.70","29.82","11.5","25","11.9"
1,2012-10-02,"72","55","64","M","55","58","1"," 0","-","-","RA BR","M","0.08","29.85","30.03"," 2.5","22","2.7"
2,2012-10-02,"64","54","59"," 5","54","56","6"," 0","0545","1728","RA FG+ BR","0.0","0.16","28.93","30.03"," 5.3","25","5.6"
1,2012-10-03,"65","60","63","M","59","60","2"," 0","-","-","RA BR","M","0.08","29.95","30.12"," 3.1","06","3.3"
2,2012-10-03,"62","58","60"," 6","60","60","5"," 0","0546","1726","RA FG+","0.0","0.04","29.00","30.11"," 4.8","06","4.9"
1,2012-10-04,"63","59","61","M","58","59","4"," 0","-","-","RA FG BR","M","0.05","29.97","30.13"," 2.8","04","3.0"
2,2012-10-04,"62","58","60"," 6","59","59","5"," 0","0547","1724","RA FG+ FG BR","0.0","0.03","29.03","30.12"," 1.2","03","4.1"
1,2012-10-05,"77","59","68","M","57","61","0"," 3","-","-","FG+ FG BR","M","0.00","29.83","29.98"," 2.5","23","3.5"
2,2012-10-05,"74","56","65","12","55","59","0"," 0","0549","1723","BR","0.0","0.00","28.92","29.99"," 7.1","26","8.2"
1,2012-10-06,"79","51","65","M","54","59","0"," 0","-","-","BR","M","0.01","29.66","29.82"," 6.7","23","8.4"
2,2012-10-06,"73","48","61"," 8","52","55","4"," 0","0550","1721","BR","0.0","  T","28.75","29.84"," 9.6","25","12.7"
1,2012-10-07,"58","44","51","M","41","47","14"," 0","-","-","RA BR","M","0.25","29.86","30.04"," 2.7","23","3.6"
2,2012-10-07,"53","41","47","-6","39","44","18"," 0","0551","1719","RA","0.0","0.19","28.92","30.04"," 4.5","27","5.2"
1,2012-10-08,"57","42","50","M","42","47","15"," 0","-","-","BR","M","  T","30.05","30.24"," 1.0","32","2.4"
2,2012-10-08,"54","39","47","-5","40","44","18"," 0","0552","1718"," ","0.0","0.00","29.09","30.22"," 2.9","30","4.1"
1,2012-10-09,"59","47","53","M","45","49","12"," 0","-","-"," ","M","  T","30.10","30.25"," 4.8","06","5.6"
2,2012-10-09,"52","45","49","-3","45","47","16"," 0","0553","1716","BR","0.0","  T","29.13","30.22"," 6.3","05","6.5"
1,2012-10-10,"61","50","56","M","51","53","9"," 0","-","-","RA BR","M","0.16","29.79","29.92"," 0.3","04","6.4"
2,2012-10-10,"59","46","53"," 1","49","50","12"," 0","0554","1714","RA FG+ BR","0.0","0.37","28.84","29.91"," 2.0","30","8.3"
1,2012-10-11,"59","43","51","M","35","44","14"," 0","-","-"," ","M","0.00","29.85","30.04"," 9.4","26","10.3"
2,2012-10-11,"53","40","47","-4","34","41","18"," 0","0555","1713"," ","0.0","0.00","28.93","30.06","10.7","26","11.3"
1,2012-10-12,"54","36","45","M","31","40","20"," 0","-","-","RA","M","0.04","29.95","30.15"," 6.1","30","8.3"
2,2012-10-12,"50","32","41","-10","30","37","24"," 0","0556","1711","RA","0.0","0.04","29.01","30.15"," 8.6","30","10.5"
1,2012-10-13,"54","29","42","M","25","36","23"," 0","-","-"," ","M","0.00","30.24","30.40"," 4.1","26","5.4"
2,2012-10-13,"49","29","39","-11","24","34","26"," 0","0558","1709"," ","0.0","0.00","29.28","30.40"," 6.2","26","7.6"
1,2012-10-14,"64","45","55","M","48","51","10"," 0","-","-","RA BR","M","0.56","29.97","30.09"," 5.1","20","5.5"
2,2012-10-14,"64","42","53"," 3","47","50","12"," 0","0559","1708","RA BR","0.0","0.22","29.02","30.09","14.4","22","14.6"
1,2012-10-15,"78","59","69","M","58","61","0"," 4","-","-","RA BR","M","0.29","29.59","29.73"," 7.9","20","8.2"
2,2012-10-15,"70","57","64","14","57","59","1"," 0","0560","1706","RA","0.0","0.22","28.69","29.74","12.1","22","12.7"
1,2012-10-16,"61","37","49","M","39","46","16"," 0","-","-","RA","M","0.05","29.51","29.70"," 7.6","29","8.2"
2,2012-10-16,"58","36","47","-2","36","42","18"," 0","0601","1705"," ","0.0","  T","28.59","29.72","13.6","30","13.9"
1,2012-10-17,"63","35","49","M","35","42","16"," 0","-","-"," ","M","0.00","29.79","29.97"," 0.5","27","1.3"
2,2012-10-17,"60","35","48","-1","32","41","17"," 0","0602","1703"," ","0.0","0.00","28.84","29.96"," 3.8","29","4.7"
1,2012-10-18,"66","40","53","M","43","48","12"," 0","-","-","BR","M","0.00","29.92","30.09"," 1.2","10","2.6"
2,2012-10-18,"63","44","54"," 5","43","48","11"," 0","0603","1702","BR","0.0","0.00","28.96","30.07"," 4.3","17","6.8"
1,2012-10-19,"67","48","58","M","56","58","7"," 0","-","-","RA BR","M","0.16","29.80","29.93"," 6.5","11","7.6"
2,2012-10-19,"64","51","58"," 9","57","57","7"," 0","0605","1660","RA FG+ FG BR","0.0","0.88","28.84","29.89"," 5.9","13","8.2"
1,2012-10-20,"76","55","66","M","56","60","0"," 1","-","-","RA BR VCTS","M","0.64","29.52","29.69"," 4.1","22","5.6"
2,2012-10-20,"70","48","59","11","52","56","6"," 0","0606","1658","FG+ FG BR","0.0","0.03","28.61","29.69"," 6.9","23","7.9"
1,2012-10-21,"65","46","56","M","40","48","9"," 0","-","-"," ","M","0.00","29.67","29.84"," 7.8","25","8.5"
2,2012-10-21,"59","42","51"," 3","38","45","14"," 0","0607","1657"," ","0.0","0.00","28.76","29.86","10.8","28","11.3"
1,2012-10-22,"66","46","56","M","40","48","9"," 0","-","-"," ","M","0.00","29.75","29.93"," 6.0","28","7.4"
2,2012-10-22,"62","48","55"," 7","40","47","10"," 0","0608","1655"," ","0.0","0.00","28.85","29.96","11.3","28","11.6"
1,2012-10-23,"64","45","55","M","39","47","10"," 0","-","-"," ","M","0.00","29.91","30.08"," 3.3","32","4.3"
2,2012-10-23,"61","47","54"," 7","41","48","11"," 0","0609","1654"," ","0.0","  T","28.97","30.08"," 5.3","30","5.9"
1,2012-10-24,"60","39","50","M","36","43","15"," 0","-","-"," ","M","0.00","30.03","30.20"," 0.3","17","2.2"
2,2012-10-24,"55","46","51"," 4","36","43","14"," 0","0611","1653"," ","0.0","0.00","29.07","30.18"," 2.4","05","M"
1,2012-10-25,"64","38","51","M","41","46","14"," 0","-","-"," ","M","0.00","30.11","30.29"," 2.0","07","2.4"
2,2012-10-25,"58","43","51"," 4","35","44","14"," 0","0612","1651"," ","0.0","0.00","29.16","30.27"," 2.1","21","3.8"
1,2012-10-26,"68","43","56","M","46","50","9"," 0","-","-"," ","M","0.00","30.05","30.20"," 1.5","21","1.7"
2,2012-10-26,"63","48","56","10","50","52","9"," 0","0613","1650"," ","0.0","0.00","29.10","30.19"," 6.5","24","7.0"
1,2012-10-27,"67","45","56","M","48","51","9"," 0","-","-","BR","M","0.00","29.91","30.07"," 2.9","06","3.4"
2,2012-10-27,"60","51","56","10","50","53","9"," 0","0614","1648","BR","0.0","0.00","28.97","30.05"," 2.1","02","4.2"
1,2012-10-28,"56","49","53","M","48","50","12"," 0","-","-","RA BR","M","0.07","29.82","29.96","11.8","04","11.9"
2,2012-10-28,"51","47","49"," 3","46","48","16"," 0","0615","1647","RA BR","0.0","0.07","28.84","29.91","11.2","05","11.8"
1,2012-10-29,"M","M","M","M","M","M","M","M","-","-","RA BR","M","M","M","M","M","M","M"
2,2012-10-29,"61","48","55","10","54","54","10"," 0","0617","1646","RA BR","0.0","1.53","28.35","29.38","18.8","07","20.0"
1,2012-10-30,"61","52","57","M","M","M","8"," 0","-","-","RA","M","0.40","29.45","M","M","M","14.5"
2,2012-10-30,"64","53","59","14","54","55","6"," 0","0618","1644","RA FG BR","0.0","0.31","28.40","29.49"," 9.1","13","9.2"
1,2012-10-31,"58","49","54","M","47","51","11"," 0","-","-","BR","M","0.00","29.37","29.54"," 3.5","19","5.2"
2,2012-10-31,"53","44","49"," 4","43","46","16"," 0","0619","1643","FG+ FG","0.0","0.07","28.44","29.52"," 5.9","21","8.0"
1,2012-11-01,"56","45","M","M","39","45","M","M","-","-"," ","M","0.00","29.39","29.55"," 5.0","23","6.0"
2,2012-11-01,"52","40","46"," 2","36","41","19"," 0","0620","1642"," ","0.0","  T","28.45","29.54"," 8.5","24","8.7"
1,2012-11-02,"53","44","49","M","37","43","16"," 0","-","-","RA","M","0.01","29.41","29.58"," 5.3","27","6.3"
2,2012-11-02,"48","39","44"," 0","34","40","21"," 0","0622","1640","RA","0.0","  T","28.48","29.58"," 8.7","28","9.3"
1,2012-11-03,"52","41","47","M","33","40","18"," 0","-","-"," ","M","0.00","29.54","29.72"," 7.9","29","8.3"
2,2012-11-03,"49","36","43","-1","30","37","22"," 0","0623","1639"," ","0.0","0.00","28.61","29.73","12.4","30","12.7"
1,2012-11-04,"53","37","45","M","30","38","20"," 0","-","-"," ","M","0.00","29.70","29.89"," 7.4","32","7.9"
2,2012-11-04,"49","35","42","-2","29","36","23"," 0","0624","1638"," ","0.0","0.00","28.76","29.89","11.7","31","12.2"
1,2012-11-05,"44","31","38","M","21","31","27"," 0","-","-"," ","M","0.00","29.85","30.04"," 6.7","32","6.9"
2,2012-11-05,"40","29","35","-8","19","29","30"," 0","0625","1637"," ","0.0","0.00","28.89","30.02"," 8.9","34","9.2"
1,2012-11-06,"42","24","33","M","17","28","32"," 0","-","-"," ","M","0.00","30.04","30.22"," 2.0","31","3.5"
2,2012-11-06,"40","23","32","-11","14","26","33"," 0","0627","1635"," ","0.0","0.00","29.05","30.19"," 2.6","35","4.7"
1,2012-11-07,"37","26","32","M","21","30","33"," 0","-","-","SN BR","M","0.03","29.90","30.02","16.5","02","16.7"
2,2012-11-07,"32","27","30","-13","21","27","35"," 0","0628","1634","SN FZFG BR UP","5.2","0.47","28.87","29.95","15.9","03","16.5"
1,2012-11-08,"40","32","36","M","33","35","29"," 0","-","-","RA SN BR","M","0.23","29.57","29.73","14.5","36","14.8"
2,2012-11-08,"36","29","33","-9","30","32","32"," 0","0629","1633","RA SN BR","1.2","0.30","28.59","29.71","18.2","36","19.9"
1,2012-11-09,"53","37","45","M","26","37","20"," 0","-","-"," ","M","0.00","29.75","29.95"," 8.8","31","9.9"
2,2012-11-09,"50","33","42"," 0","22","33","23"," 0","0630","1632"," ","0.0","0.00","28.81","29.96","12.1","31","12.7"
1,2012-11-10,"54","33","44","M","27","37","21"," 0","-","-"," ","M","0.00","30.09","30.30"," 2.2","30","4.3"
2,2012-11-10,"53","36","45"," 3","29","38","20"," 0","0632","1631"," ","0.0","0.00","29.13","30.29"," 2.1","30","4.4"
1,2012-11-11,"63","33","48","M","39","45","17"," 0","-","-"," ","M","0.00","30.30","30.47"," 4.8","21","4.8"
2,2012-11-11,"60","41","51","10","40","45","14"," 0","0633","1630"," ","0.0","0.00","29.34","30.46","10.6","22","11.1"
1,2012-11-12,"69","50","60","M","49","54","5"," 0","-","-"," ","M","0.00","30.24","30.39"," 7.1","19","8.0"
2,2012-11-12,"65","47","56","15","48","52","9"," 0","0634","1629","RA BR","0.0","0.00","29.29","30.39","12.5","21","13.4"
1,2012-11-13,"66","40","53","M","44","48","12"," 0","-","-","RA","M","0.26","30.07","30.27"," 3.7","27","7.0"
2,2012-11-13,"61","35","48"," 7","41","44","17"," 0","0635","1628","RA BR","0.0","0.26","29.13","30.26"," 6.6","29","11.0"
1,2012-11-14,"47","32","40","M","24","33","25"," 0","-","-"," ","M","0.00","30.34","30.51"," 7.5","01","7.8"
2,2012-11-14,"44","32","38","-2","22","31","27"," 0","0636","1627"," ","0.0","0.00","29.34","30.48"," 7.5","02","7.9"
1,2012-11-15,"45","30","38","M","26","33","27"," 0","-","-"," ","M","0.00","30.26","30.42"," 5.0","02","5.4"
2,2012-11-15,"42","29","36","-4","24","30","29"," 0","0638","1626"," ","0.0","0.00","29.26","30.39"," 4.8","04","5.6"
1,2012-11-16,"46","32","39","M","27","34","26"," 0","-","-"," ","M","0.00","30.16","30.35"," 1.8","36","2.4"
2,2012-11-16,"45","33","39","-1","23","32","26"," 0","0639","1625"," ","0.0","0.00","29.18","30.33"," 4.4","35","5.0"
1,2012-11-17,"48","28","38","M","27","33","27"," 0","-","-","BR","M","0.00","30.40","30.60"," 0.5","04","0.9"
2,2012-11-17,"48","32","40"," 1","26","34","25"," 0","0640","1625"," ","0.0","0.00","29.41","30.57"," 3.7","01","4.1"
1,2012-11-18,"48","25","37","M","26","32","28"," 0","-","-","FZFG BR","M","0.00","30.53","30.70"," 2.3","07","2.6"
2,2012-11-18,"45","31","38","-1","26","33","27"," 0","0641","1624"," ","0.0","0.00","29.52","30.66"," 3.9","05","4.8"
1,2012-11-19,"49","26","38","M","28","33","27"," 0","-","-","FG+ FZFG BR","M","0.00","30.35","30.48"," 0.5","06","1.1"
2,2012-11-19,"45","32","39"," 1","28","33","26"," 0","0643","1623"," ","0.0","0.00","29.34","30.44"," 4.4","03","5.3"
1,2012-11-20,"51","25","38","M","26","33","27"," 0","-","-","FG+ FZFG BR","M","0.00","30.04","30.21"," 1.1","06","1.4"
2,2012-11-20,"48","34","41"," 3","28","35","24"," 0","0644","1622"," ","0.0","0.00","29.07","30.18"," 4.3","03","5.0"
1,2012-11-21,"52","33","43","M","32","38","22"," 0","-","-"," ","M","0.00","30.07","30.24"," 4.8","03","5.2"
2,2012-11-21,"48","38","43"," 5","28","36","22"," 0","0645","1622"," ","0.0","0.00","29.09","30.22"," 5.1","03","5.6"
1,2012-11-22,"56","37","47","M","36","41","18"," 0","-","-","FG+ BR","M","0.00","30.08","30.23"," 0.4","17","0.6"
2,2012-11-22,"53","39","46"," 9","36","41","19"," 0","0646","1621"," ","0.0","0.00","29.11","30.22"," 0.4","14","4.1"
1,2012-11-23,"57","32","45","M","38","41","20"," 0","-","-","FG+ BR","M","0.00","29.78","29.90"," 3.5","19","4.2"
2,2012-11-23,"54","38","46"," 9","38","42","19"," 0","0647","1620","RA","0.0","0.00","28.83","29.89"," 9.3","23","10.2"
1,2012-11-24,"48","32","40","M","25","36","25"," 0","-","-","RA","M","  T","29.42","29.59","10.5","28","11.5"
2,2012-11-24,"46","29","38"," 1","22","32","27"," 0","0649","1620","RA","0.0","  T","28.50","29.60","16.7","29","17.1"
1,2012-11-25,"39","30","35","M","16","28","30"," 0","-","-"," ","M","0.00","29.57","29.76","11.7","26","12.2"
2,2012-11-25,"33","26","30","-6","17","26","35"," 0","0650","1619"," ","0.0","0.00","28.63","29.77","13.9","27","14.2"
1,2012-11-26,"47","28","38","M","21","31","27"," 0","-","-"," ","M","0.00","29.83","30.04"," 6.3","26","7.3"
2,2012-11-26,"42","29","36"," 0","21","29","29"," 0","0651","1619"," ","0.0","0.00","28.88","30.04"," 9.9","27","10.4"
1,2012-11-27,"37","25","31","M","28","31","34"," 0","-","-","RA SN BR UP","M","0.05","30.12","30.29"," 0.8","23","1.5"
2,2012-11-27,"33","29","31","-4","28","30","34"," 0","0652","1618","SN FG+ FG BR","1.4","0.16","29.13","30.26"," 1.7","26","3.6"
1,2012-11-28,"37","27","32","M","23","29","33"," 0","-","-"," ","M","0.00","30.03","30.18"," 4.3","01","5.1"
2,2012-11-28,"35","28","32","-3","24","28","33"," 0","0653","1618"," ","0.0","0.00","29.03","30.16"," 4.8","32","7.5"
1,2012-11-29,"43","27","35","M","21","31","30"," 0","-","-"," ","M","0.00","30.01","30.19"," 9.2","24","9.8"
2,2012-11-29,"40","26","33","-2","22","29","32"," 0","0654","1617"," ","0.0","0.00","29.06","30.20","10.7","25","11.0"
1,2012-11-30,"40","28","34","M","9","25","31"," 0","-","-"," ","M","0.00","30.26","30.47"," 5.8","36","6.1"
2,2012-11-30,"35","27","31","-3","11","24","34"," 0","0655","1617"," ","0.0","0.00","29.24","30.42"," 3.1","05","5.8"
1,2012-12-01,"29","25","27","M","18","25","38"," 0","-","-","SN BR HZ","M","  T","30.43","30.60"," 5.5","02","5.6"
2,2012-12-01,"30","22","26","-8","21","24","39"," 0","0656","1617","SN FG+ FZFG BR UP","0.8","0.09","29.40","30.55"," 5.7","05","5.8"
1,2012-12-02,"51","28","40","M","35","37","25"," 0","-","-","RA FG+ FG BR","M","0.01","30.15","30.27"," 2.8","22","3.5"
2,2012-12-02,"50","30","40"," 7","39","40","25"," 0","0657","1616","RA FG+ FZFG BR","0.0","0.04","29.16","30.25"," 6.8","23","9.5"
1,2012-12-03,"57","34","46","M","40","44","19"," 0","-","-","BR","M","  T","29.96","30.16"," 4.2","27","6.4"
2,2012-12-03,"54","40","47","14","41","44","18"," 0","0658","1616","BR","0.0","0.00","29.02","30.16"," 6.9","28","8.4"
1,2012-12-04,"59","32","46","M","42","44","19"," 0","-","-","BR HZ","M","0.00","30.09","30.22"," 3.5","20","3.6"
2,2012-12-04,"55","36","46","13","44","45","19"," 0","0659","1616","RA FG+ BR","0.0","0.07","29.11","30.20"," 8.1","21","8.9"
1,2012-12-05,"59","32","46","M","35","43","19"," 0","-","-","RA","M","0.02","29.78","29.95"," 8.5","29","11.0"
2,2012-12-05,"55","30","43","10","33","39","22"," 0","0700","1616","RA","0.0","0.02","28.84","29.96","13.8","29","16.3"
1,2012-12-06,"40","24","32","M","16","27","33"," 0","-","-"," ","M","0.00","30.09","30.28"," 4.1","31","4.5"
2,2012-12-06,"38","24","31","-1","14","M","34"," 0","0701","1615"," ","0.0","0.00","M","M"," 6.7","32","8.2"
1,2012-12-07,"44","23","34","M","28","33","31"," 0","-","-","RA BR","M","0.03","30.03","30.18"," 2.0","21","2.1"
2,2012-12-07,"41","27","34"," 2","30","M","31"," 0","0702","1615","RA","0.0","0.04","M","M","10.5","22","10.6"
1,2012-12-08,"43","40","42","M","39","41","23"," 0","-","-","RA BR","M","0.18","29.80","29.96"," 1.2","02","3.2"
2,2012-12-08,"44","40","42","11","40","41","23"," 0","0703","1615","RA FG+ FG BR","0.0","0.32","28.83","29.94"," 1.2","26","5.4"
1,2012-12-09,"46","38","42","M","33","38","23"," 0","-","-","RA BR","M","0.08","30.01","30.20"," 1.1","32","3.5"
2,2012-12-09,"44","36","40"," 9","34","37","25"," 0","0704","1615","RA FG+ FG BR","0.0","0.18","29.05","30.18"," 2.2","35","7.0"
1,2012-12-10,"50","41","46","M","44","45","19"," 0","-","-","RA FG+ FG BR","M","0.35","29.65","29.74"," 1.6","06","2.6"
2,2012-12-10,"58","37","48","18","47","M","17"," 0","0705","1615","RA FG+ BR","0.0","0.33","28.69","29.72"," 6.4","22","11.2"
